,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
UNDR03_3-bin.1,15150,1803,236,132,116,32,170,181,150,1162,4767,266,180,33307,793866,130,58,47576,2264,101,32825,1851,2570,268739,80554,453070,138164,167220,891,398,848,1580,2271,2841,126,87,122,41,159,92,106,100,40,240,195,164,127,111,195,139,155,75,42,91,31
UNDR03_3-bin.12,432,209,3771,1321,1504,396,903,1495,1073,306,1211,62,88,4881,1515,8522,9286,1841,9715,11813,800,433,236,39753,15538,14228,4182,29321,2480,3134,3414,3292,3641,2929,824,766,1709,1334,1894,1467,1132,1194,1844,1890,1790,801,800,1398,1389,855,749,508,457,705,493
UNDR03_3-bin.15,79,27,18,42,9,85,273,177,48,0,18,3,1,36,7,60448,157,404,1101,3037,281,71,23,65532,156,728,558,253,149,231,202,286,106,174,9998,6013,23406,10182,9165,4778,6598,11965,4592,6179,1211,1911,3088,1912,1471,1,3,1325,4544,1165,1980
UNDR03_3-bin.20,73,51,216,144,187,36,123,165,159,15,64,37,24,3981,400,55,97,117,79,147,327,49,60,67655,737,467,232,692,76,161,132,155,109,94,237,255,92,51,108,99,420,99,240,140,168,406,78,189,125,129,100,147,38,87,44
UNDR03_3-bin.31,50,25,91,127,169,24,459,233,140,10,62,73,67,66598,96354,14540,57614,1376,5255,2515,274,62,29,165084,127658,547,1015,1123,925,1279,795,1494,1258,1159,177,210,407,337,460,139,287,296,282,361,46,142,119,190,197,25,27,51,77,40,90
UNDR03_3-bin.32,10,10,144,126,142,32,94,87,87,4,9,52,82,19624,246,813,1148,76,731,1256,62,14,6,73218,19568,41434,21971,33817,337,268,242,969,388,684,19,48,27,33,28,20,64,46,34,19,32,30,26,21,24,22,44,10,13,24,10
UNDR03_3-bin.38,35976,1465,361,10,15,6,16,17,16,1435,5585,69,98,84490,135,122276,214,18,18816,171,61107,1735,1787,149405,82091,45215,17243,22480,29912,39637,53634,47753,36227,65077,10,9,9,12,10,4,12,9,17,14,16,7,10,11,19,17,14,12,2,12,6
UNDR03_3-bin.41,313,39,19,7,5,4,8,6,3,332,1508,12,8,12127,5,3,11,82,120,60,770,56,52,47550,14807,22950,10606,12818,647,910,1006,1144,907,918,5,3,6,1,7,10,23,12,8,13,14,15,8,18,14,10,13,8,6,8,3
UNDR03_3-bin.43,3829,18871,9,4,1,3,6,2,2,4,24,432,2388,127125,0,7,1,2,8,2,6503,65604,10811,350822,185370,78197,18997,4437,976,416,694,4013,3150,2601,10,10,11,4,3405,16,4,5,10,2961,24,16,15,23,755,8,8,18,1044,477,80
UNDR03_3-bin.48,5073,580,142,33,52,13,41,26,20,33,219,20,8,6,13,42,61047,288,533,1541,8265,938,586,86767,69960,2017,2147,1841,8322,4646,9658,4306,3640,2618,137,140,165,95,166,126,198,163,100,147,54,122,66,68,61,15,21,33,31,31,29
UNDR03_3-bin.53,1933,416,223,174,163,45,70,76,82,136,882,274,232,37275,44,44,102,34,185,503,4118,732,498,99797,34499,44268,22757,30367,3687,4495,4528,17040,16919,12172,41,42,35,54,69,55,97,66,46,81,67,58,44,51,64,65,39,70,18,48,27
UNDR03_3-bin.56,9,65,62,134,120,25,108,206,186,2,13,10,18,106338,73968,29466,27082,6887,9804,10292,53,89,67,190740,150516,22953,11590,18793,792,834,1173,467,359,245,13,7,6,8,22,19,13,7,101,42,26,8,5,23,23,35,33,10,5,10,9
UNDR03_3-bin.57,4769,572,1465,1127,1502,381,1772,2206,1767,796,4217,187,292,181753,138016,26669,217313,59878,121031,4522,5980,2040,266,661402,191329,49463,26458,37861,51264,53752,54894,40693,30354,28837,252,103,144,80,140,128,153,226,115,145,171,145,110,140,145,164,156,72,83,65,55
UNDR03_3-bin.6,417,220,77,11,15,4,3,4,3,818,5271,1215,1599,161578,2369,3442,5839,2618,7113,2138,872,666,162,113385,51561,125615,81267,68661,1447,1149,1233,324,297,225,4,7,19,15,13,6,14,14,14,11,6,6,11,15,11,4,5,4,2,14,6
UNDR03_3-bin.61,1368,5249,22,1,6,5,3,3,1,8,23,633,27904,265414,1,6,4,1,9,13,2582,19309,3509,1171094,374136,20812,4861,1111,751,629,839,3634,2230,1871,13,6,13,6,3747,14,7,16,13,3196,19,10,15,25,829,4,13,13,1129,485,110
UNDR03_3-bin.63,12,17,291,210,203,85,268,359,223,2,4,1,1,382,27,16,29,1061,144,608,92,17,19,108836,323,2119,557,245,141,275,701,343,202,184,166,257,206,90,79,180,614,263,213,101,175,262,171,193,98,84,104,64,53,113,78
UNDR03_3-bin.66,14,12,1120,939,1156,195,634,789,590,2,9,4,9,107768,73404,52208,21920,17351,3440,3999,76,15,15,342677,137839,79088,24614,31943,328,725,333,691,678,502,97,63,60,417,671,104,140,79,202,730,183,72,90,130,380,806,767,331,80,155,108
UNDR03_3-bin.67,137117,8564,28,3,7,4,14,12,12,476,2440,117,134,113855,74246,58282,44728,9,52,166,195944,14307,6759,157099,75129,11954,9594,6399,361,346,499,10500,10261,11620,5,14,3,5,14,9,16,16,11,9,11,14,5,9,17,11,8,14,4,7,14
UNDR03_4-bin.23,375353,18445,215,190,164,60,219,291,207,22221,133343,984,1422,586220,235139,142743,135970,169086,401975,67949,421233,58316,10468,1054684,918009,535763,262727,327124,7460,10544,12684,21961,28877,19304,67,32,43,43,55,55,60,82,70,52,81,59,43,56,44,92,71,47,20,29,22
UNDR03_4-bin.26,51,23,752,417,560,89,394,508,264,9,25,36,75,1837978,1185564,45119,193267,173467,474,637,229,38,50,2664315,2398957,346382,423211,517521,106,225,124,90,266,200,45,18,12,11,19,70,33,27,23,23,89,34,17,21,20,876,887,139,5,13,10
UNDR03_4-bin.29,385,109,477,141,302,57,231,268,212,31,164,47,54,1353,278,99653,216963,3090,191589,277831,582,189,87,21688,27405,6935,6372,34403,844,710,1152,1210,1439,1193,234,143,199,318,421,180,364,352,283,219,153,214,222,319,105,66,47,95,75,79,71
UNDR03_4-bin.3,3616,1205,12975,917,1301,345,1717,1841,1590,6319,33312,749,1234,4000307,1283258,1005867,1422693,342008,909659,392218,5689,4672,640,8409972,3755425,926761,517915,702970,581467,719963,932911,268364,337582,311120,112,186,434,539,620,103,243,570,558,615,131,138,345,580,698,185,213,87,84,303,100
UNDR03_4-bin.35,12,3,39,8,5,4,14,16,18,1,9,204,43,3724,2305,458,52222,13265,214,183,101,7,7,8468,52092,4897,1682,987,17,9,29,10,23,13,9,9,10,6,7,7,8,9,2,6,12,7,1,6,6,24,35,8,3,1,8
UNDR03_4-bin.40,82,79,402,125,138,34,24,419,55,13,32,32,14,86417,162,569,257,40,424,475,348,66,117,148247,143826,470302,166742,89965,6777,359,9437,4246,9244,3700,8,81,20,41,26,2,70,15,35,38,13,18,10,17,39,24,21,20,6,9,10
UNDR03_4-bin.7,13331,4111,44,57,74,11,28,33,28,16751,61382,539,764,101352,7314,9299,147749,4725,12510,29692,23064,12735,3064,289970,170917,441046,170653,151567,1856,2685,4642,21506,27214,21855,21,10,3,2,18,11,7,7,5,10,34,12,19,20,7,54,62,44,11,170,11
UNDR03_5-bin.0,20729,6261,14,87,108,7,38,34,37,51760,214575,1200,1976,774,1580,3207,3421,730,1644,6362,26924,18099,4753,3457,1405,131231,46771,53233,644,544,1016,5082,4327,4624,23,12,9,8,15,13,9,12,4,20,32,10,10,11,11,102,80,32,11,175,21
UNDR03_5-bin.13,621,213,428,519,511,149,306,382,312,143148,656103,919,1519,11104,666,885,3037,2330,234375,489,1444,865,120,41526,15661,741464,299434,306526,5450,7021,7267,5765,4983,5246,97,57,61,81,66,63,69,99,83,74,104,54,48,75,82,117,113,75,33,40,31
UNDR03_5-bin.2,2236,2982,121065,15157,24219,3364,27101,21910,13642,1781,7190,60,71,6885,5306,9825,11290,6070,11021,13473,4756,2291,3724,21192,7727,1058567,13045,30227,66510,4935,15974,22506,35159,17356,216,497,584,552,786,184,970,1446,1027,1192,879,805,1162,1605,1238,348,359,441,420,1159,478
UNDR03_5-bin.21,43402,6068,10075,4192,6896,1378,3870,4859,3949,36802,142027,1613,2282,25352,13098,14472,23755,48774,147213,273401,83661,14032,5188,44742,25754,163706,70303,85102,16524,16289,20969,19401,17999,17047,1829,2722,2892,2386,3752,1574,2995,2746,1862,4646,3268,2036,2010,2336,3598,1979,2084,2730,1128,1907,1304
UNDR03_5-bin.22,22533,3506,179,143,156,45,234,276,259,19302,67725,382,297,14555,15823,136,310,2704,2644,116,40692,7414,3236,6459,25877,464775,343943,592200,3929,3868,7545,14640,15997,26543,32,24,19,18,24,35,42,30,32,29,46,38,29,31,25,45,42,30,14,11,13
UNDR03_5-bin.24,135,206,5436,3315,3269,823,2566,3457,3143,8,38,42,49,1722,366,2103,1109,18640,281,1296,366,239,203,4580,1272,122919,29713,45410,1671,2093,1885,1835,2086,2082,27,31,41,13,13,153,157,172,98,30,1011,265,136,152,57,559,628,1286,154,71,109
UNDR03_5-bin.28,510,741,1288,663,561,183,706,1028,968,3,13,4,10,146,10,12,17,61,19,179,1088,454,1045,38,173,339889,461,12127,1147,415,709,6590,2091,29227,244,126,230,407,506,247,495,413,452,293,538,419,339,489,190,328,330,305,261,332,207
UNDR03_5-bin.32,1486,920,18893,6158,9057,2203,50528,40612,33615,9,18,60,60,18108,77958,30872,23459,69247,14993,187597,3828,775,1110,67181,46691,5434558,39700,7704310,10394,8269,14405,185921,126696,21688,3964,8015,4975,5406,5259,3929,10256,9416,4706,6470,159126,14109,7197,6686,6431,4680,4255,438324,1714,3841,40512
UNDR03_5-bin.35,14707,12177,134,94,111,100,73,70,84,67193,224685,5045,5942,177,212,279,355,354,612,712,15636,28655,9134,554,195,57420,22418,27191,154,127,153,630,718,712,12,10,6,9,14,9,10,9,5,19,14,13,14,25,8,13,24,13,6,62,81
UNDR03_5-bin.4,30528,85431,959,1534,1126,262,476,609,600,790,3895,240338,326661,87805,39090,1470,2140,49835,6184,54,64853,55735,196337,137646,193374,568092,142704,121812,1059,1696,1957,3442,1965,1594,2340,1668,2558,2688,4289,1595,1612,1552,1313,6009,3909,5001,4007,4686,4866,6248,4507,3976,526,2665,1184
UNDR03_5-bin.5,44051,249790,134,8,8,5,34,18,6,45,148,1356,5085,233497,5,9,14,6,23,6,68352,851496,139310,892660,429454,1100469,281635,67289,11491,4037,6858,28097,29707,26135,27,17,17,15,9380,29,15,17,11,7978,39,22,21,45,1989,12,16,14,2937,1353,233
UNDR03_5-bin.50,4047,413,27,26,21,3,25,25,20,10810,47450,239,294,12,30,24,21,7,130,221,5882,739,552,18,12,76956,32608,37221,21,19,28,246,78,136,23,25,21,12,21,22,18,33,28,36,31,29,21,36,49,22,19,38,9,24,10
UNDR03_5-bin.54,15285,1714,100,85,69,26,36,47,42,942,3379,86,103,5618,4164,2835,5609,4474,8499,4891,34719,2360,1533,7642,2462,100675,85733,89012,396,684,922,4338,3100,5353,5,3,8,5,5,24,20,13,12,4,77,17,12,6,4,54,49,7,5,7,8
UNDR03_5-bin.59,762,1150,1497,204,919,106,3147,2508,2005,2,4,8,12,5604,18786,6495,5180,13446,8241,31390,2016,740,1486,14839,9596,329234,52574,143990,757,404,1009,6710,2354,906,61,61,63,33,26,61,141,103,109,38,9275,532,117,96,43,329,243,25358,33,63,2181
UNDR03_5-bin.60,65594,10923,2833,235,261,85,279,279,266,9000,49200,779,1024,112882,178391,40502,290737,26926,60779,5024,72812,39157,4626,182347,129424,557222,238865,338664,152124,214670,263702,609173,742020,539167,36,23,33,35,36,25,49,47,48,30,47,28,26,42,44,47,39,25,12,22,16
UNDR03_5-bin.66,2516,751,11538,5184,6233,1488,3451,4004,3570,3762,14404,206,272,1214,1777,1907,7496,20301,4947,19561,3683,2036,484,5416,7358,200107,11391,8989,6349,9358,8409,7612,5113,4102,3956,2446,3347,3975,5773,2372,3278,2844,1918,5418,4757,2903,2935,3549,4129,2921,2608,2320,1459,2650,1368
UNDR03_5-bin.7,31194,48316,88,221,321,48,85,107,101,435646,1698879,9169,13611,23694,3307,3991,8564,2287,6331,11209,38058,98742,46977,81116,56516,359022,117057,132220,5730,3886,6489,8312,6171,6530,55,10,11,17,20,24,3,13,7,19,72,26,13,19,15,230,267,101,27,568,38
UNDR03_5-bin.75,29626,1384,270,188,139,27,211,231,167,1660,7338,108,133,48,412,1025,24,6646,12962,236,61939,1243,2471,555,156,172067,82113,105760,350,229,298,1248,1415,1497,238,682,801,161,202,209,639,619,156,300,385,751,670,536,274,196,254,139,58,104,51
UNDR03_5-bin.77,40710,4508,7,5,6,0,6,13,4,41102,181704,502,686,7,4,349,2,956,4952,68,54157,8259,3903,20,10,82059,24907,26566,28,9,25,1978,1880,2171,8,13,4,1,12,6,9,6,9,9,10,9,6,7,13,13,12,13,4,5,7
UNDR03_5-bin.82,853,756,67905,31057,59873,12825,15173,15678,15145,9,19,74,165,1309997,6396110,2182342,1862119,5864076,1259504,2463959,2298,284,975,4540612,2874596,4347398,2211772,1902780,71619,23722,123360,45951,63046,10274,22,12,6,9,18,5737,268,140,35,22,3408,438,95,35,28,12285,15300,593,215,2840,280
UNDR03_5-bin.86,106,203,617,619,755,187,616,591,469,47,228,82,90,2743,867,618,490,1460,753,247,232,474,149,11700,3408,84418,2542,2733,1002,718,1297,356,248,277,153,152,120,201,89,142,192,122,105,102,144,111,92,110,103,239,237,71,91,104,43
UNDR03_6-bin.25,685,1015,45917,6336,7035,2202,14357,19165,14860,19,110,69,99,940,459,4705,199,386,358,260,2101,926,1363,5121,536,37137,390783,49564,150116,18065,107240,24405,20765,15513,3420,15937,19131,15658,35180,2233,17316,16611,14845,45957,7394,7909,11921,16107,33243,2445,2321,9429,4253,6898,4443
UNDR03_6-bin.35,76587,182907,3269,5405,3923,855,1757,2236,1963,1849,9847,488221,644812,102406,8580,360,547,4802,1446,217,153336,146338,402484,291833,200055,1343001,393351,299243,3643,5584,7034,10366,6557,5630,9597,6841,10584,11411,17216,6698,6609,6928,5452,24627,15439,20027,16223,19221,19750,24808,17944,15061,2414,10891,4745
UNDR03_6-bin.46,232881,29390,13449,4034,13860,1550,2221,2944,2762,93651,373707,7070,9423,69900,69604,34730,97786,57833,179714,166501,297872,80750,19901,140433,91264,341701,141537,195852,39221,42795,49515,52246,49524,53869,1242,1664,2019,1716,1854,1069,2332,2306,1154,2094,10391,2451,1580,1591,1665,5585,4720,2481,971,1583,1452
UNDR03_6-bin.50,92,34,6411,5344,6251,1793,1961,1816,1917,26,103,12,10,36,79,46,122,17,123,22,461,25,67,272,115,384,46249,188,2578,1004,3851,2407,2218,1978,4068,4523,4314,3347,1221,1537,3660,3390,1170,2569,2660,2182,1854,1371,1881,1726,1688,1610,623,1292,1494
UNDR03_6-bin.51,53,76,1572,630,1537,315,2248,2648,1780,5,13,2,4,31,3,27,47,246,1077,3203,207,112,90,128,175,25236,27839,149655,587,938,522,1335,801,355,206,199,235,130,112,113,223,228,76,172,304,163,146,133,126,126,122,315,58,106,64
UNDR03_7-bin.1,73,96,2933,251,263,65,104,453,337,323,540,5,4,1,1,0,4,1,4,28215,209,116,130,3,1,36,238,164321,2653,1949,1859,681,555,549,11,6,8,6,10,7,29,17,8,10,83,32,33,28,19,236,196,87,142,36,21
UNDR03_7-bin.17,45,32,594,616,772,190,352,510,507,4,13,10,3,40,28,49,100,2,56,125,191,53,45,195,10,465,1218,190669,712,756,384,1658,781,866,36,145,340,158,347,32,252,313,117,465,103,156,376,406,478,54,64,234,97,311,115
UNDR03_7-bin.2,327,356,1402,456,573,130,741,965,713,29,176,16,14,4617,1158,5152,10185,1136,8082,14945,919,577,320,58860,47705,24478,3812,100682,1113,1070,1573,1848,1805,1928,295,379,134,118,202,236,972,268,597,332,387,986,171,533,279,219,215,299,97,216,99
UNDR03_7-bin.25,136,207,5282,2786,3164,806,1806,2743,2235,649,2272,19,20,5635,12578,7637,3624,5701,5935,11476,460,315,218,17345,1999,12417,5974,156703,2643,1950,2811,2175,2580,3477,730,721,590,1114,550,456,717,686,528,643,1211,504,440,519,673,1049,983,542,478,526,470
UNDR03_7-bin.3,3093,5636,2513,651,1364,209,554,762,739,2,8,68,90,240145,60470,24612,24920,60497,17310,70678,8405,1685,7139,717461,230799,764515,450230,819656,1544,828,2052,1578,1378,522,23,10,18,12,9,80,16,18,10,13,749,54,25,15,18,419,419,731,24,73,115
UNDR03_7-bin.32,134,177,393,139,120,38,91,88,82,39,287,478,603,10873,4790,9232,7971,1687,3608,19973,281,950,109,37692,22425,30935,14426,28722,4445,3041,3365,497,391,347,6,3,7,4,6,2,10,7,15,3,5,11,10,10,5,18,11,8,1,6,3
UNDR03_7-bin.36,155,77,1583,878,2556,718,453,459,533,143,553,70,102,258,779,953,466,903,5083079,2428015,490,148,107,585,611,995,956568,597270,1082,1715,1157,2592,2450,2055,564,956,1438,1406,1570,411,1201,1220,1166,1392,319,620,413,540,807,206,186,521,210,425,264
UNDR03_7-bin.40,26,17,6984,15715,6690,2954,5453,13019,6684,6,13,11,2,4033,3094,2678,90,15671,16,147,144,14,35,24865,1152,16707,7361,1074028,9597,12034,15535,6575,10733,19478,669,51,4,23,18,4658,6724,3964,8971,135,22508,5149,3809,7637,607,4416,4944,5416,127,10212,817
UNDR03_7-bin.49,3097,427,45,26,52,12,18,12,15,4311,17347,119,131,1537,1876,995,1861,1695,302524,590833,4725,728,403,1971,1144,792512,288212,481225,22,64,77,78,65,104,38,28,21,23,56,18,26,24,18,48,35,33,15,34,39,33,25,26,21,25,22
UNDR03_7-bin.51,619,697,23416,16759,21723,5372,48399,50425,30202,15,110,14,31,1625,8713,1817,766,3543,984,5218,2006,1167,734,6565,3821,11151,6170,1371677,28004,6125,36724,36859,9811,6403,8686,15274,14036,15126,23190,4698,19680,11914,7498,26610,7726,11888,12459,16353,22073,1910,1810,3844,5055,14725,6226
UNDR03_7-bin.6,102,129,8345,17,10,2,218,5503,3469,2,18,1,6,124,11,9,13,3,17,40,401,67,179,401,14,85350,73469,213198,5750,160,1366,105,1009,2198,10,17,18,12,18,9,22,31,11,16,24,17,18,36,26,14,10,21,6,23,8
UNDR03_7-bin.61,1825,3509,1041,614,474,117,174,213,201,2,5,54,95,35598,64635,16222,9237,22310,7398,20566,5169,1089,4461,128016,38243,123645,71736,169224,1710,434,1935,784,697,236,5,5,1,2,6,18,4,6,3,5,221,12,7,9,5,232,198,346,13,21,45
UNDR03_7-bin.7,736,1456,90390,1054,680,572,7147,23309,18289,9,72,23,20,78,70,78,28,523,54,338,2307,732,1671,333,75,133533,228530,120805,7619,416,593,65428,97568,81533,100,89,61,56,241,57,91,59,44,438,268,96,84,89,6288,156,146,140,9643,1284,16584
UNDR03_74-bin.30,9222,10397,5378,68,70,15,62,60,51,7,32,512,653,1703,0,5,3,2,7,6,14417,35856,6024,5843,2375,2352,491,119,202979,211397,289846,320173,417569,399710,15,10,6,5,512,16,16,16,13,401,24,19,17,17,127,8,11,15,156,208,22
UNDR03_74-bin.38,38914,28790,76126,51949,80886,16386,90316,96798,84870,1,0,1,1,0,16,41,14,0,2,0,85489,52362,31848,22,9,872,43,310,130908,212193,148730,271323,203578,279492,3409,5708,2641,9643,6410,2667,6080,1797,2174,7364,48803,22773,8224,9117,7762,168770,120090,111378,273031,34262,260410
UNDR03_74-bin.43,51,43,23721,1724,2808,505,2710,4376,2683,13,48,3,10,10,5,3,3,182,26,318,317,68,59,61,13,1308,545,265,82445,1538,47490,8622,13189,7644,1557,876,641,382,463,1239,948,629,218,568,2198,919,603,551,495,655,619,649,165,377,210
UNDR03_74-bin.46,607,113,32315,2849,4002,578,264,324,297,158,732,249,172,69,85,164,246,78,521,1150,1876,221,231,181,89,776,183,196,61851,730,2082,668,1393,1027,53,61,80,72,107,63,119,104,83,131,235,124,124,132,139,104,91,120,32,92,46
UNDR03_74-bin.5,4152,49779,70107,59746,62235,16104,86880,97588,83209,1486,7298,92717,82254,36023,50380,75996,84788,155304,266160,37658,5518,212315,14567,99312,50158,151101,37526,38683,87827,80820,96974,82874,84031,117909,18457,11946,16756,20079,13045,28533,33766,33316,26366,12164,28295,15840,11381,16312,13165,40209,35131,19037,13350,11926,12562
UNDR03_74-bin.51,1826,300,187257,205991,172625,25325,48668,78304,117321,370,1756,396,329,3096,4807,1164,14229,719,1411,1360,3622,737,359,6570,3654,8514,4043,4601,65152,86246,82298,77554,48377,63697,2448,5958,3540,3922,2275,1889,8848,5581,4848,2728,2658,5453,3994,4740,2973,45165,39353,14134,3584,12402,1625
UNDR03_74-bin.72,1850,1464,35761,28701,29480,6122,13447,17881,22645,266,579,1426,1206,128,275,181,392,229,479,469,3765,1873,3004,321,269,920,249,290,46569,27510,44738,37261,29029,44089,4516,803,701,610,507,1733,604,470,209,668,6967,5851,6775,5499,1989,11717,8836,14129,11028,1629,11139
UNDR03_74-bin.76,2126,2186,109162,2936,16990,7129,12032,17094,17308,42,240,871,910,9,14,6,24,6,25,56,5215,2535,4559,35,21,163,28,20,291957,133651,222312,190211,295274,222046,40,41,36,42,74,27,33,20,38,81,67,88,51,73,67,100,108,61,65,148,32
UNDR03_75-bin.15,58,19,561,270,250,55,1436,1865,1208,8,56,11,6,21,12,10,12,67,84,105,348,32,23,48,24,689,507,1386,232,269914,437,1312,627,232,1725,1965,1765,1480,1773,993,2647,1302,1097,1440,642,1932,729,1113,632,69,60,404,214,475,344
UNDR03_75-bin.19,49876,1127,2052,55,59,20,14,21,22,8,22,9,7,11,11,2,14,3,24,86,86908,2150,972,20,14,73,18,8,63484,98459,63086,35186,31793,34341,4,9,2,6,9,4,13,9,10,7,3,7,3,11,9,9,4,7,1,7,5
UNDR03_75-bin.20,37020,52503,49396,58940,46979,11685,18068,27058,23241,175,831,18141,23306,2262,841,162,324,368,699,821,79365,50150,124322,5102,4358,23629,5807,4474,61677,227309,130317,173253,116239,91695,111049,156083,130192,122992,190820,77384,139158,87352,57728,277655,165882,379825,224207,231277,247161,249893,178012,179102,25330,114133,50440
UNDR03_75-bin.24,1627,556,51416,8324,9785,2549,33571,42576,35075,9,37,2,2,1808,5132,4159,3040,4712,1971,5003,3898,1028,714,5313,3001,5523,2470,13158,30083,51454,38622,30520,39439,44259,3068,1628,2037,2641,1423,1978,2120,2402,1045,1382,27736,4712,2093,2034,1241,3184,2932,20599,5268,2543,18805
UNDR03_75-bin.3,250,349,3014,84148,48604,17942,2027,2105,1622,3,23,38,19,107,87,313,71,8,26,306,684,230,481,111,33,4404,712,2465,16638,137085,66302,9385,9747,17875,1078,1222,349,249,427,698,924,173,168,449,3599,946,343,254,244,39444,39387,1855,1863,218,942
UNDR03_75-bin.36,57,82,60338,2493,3446,624,2832,1959,2610,1,5,27,22,763,1464,280,467,1816,263,1417,189,141,77,2350,912,1525,387,42019,407727,238014,247394,3563,2265,3154,929,1097,566,681,860,399,1871,620,1051,1147,2654,2601,1060,1769,1451,204,192,1075,521,1962,658
UNDR03_75-bin.41,664,159,1028,1090,1236,263,1299,1306,1539,100,660,295,211,99,107,209,241,139,385,1233,1986,274,376,194,140,922,224,340,231473,313950,259367,93700,57944,33658,274,253,222,163,216,223,558,362,143,224,410,387,314,284,285,307,303,174,74,263,86
UNDR03_75-bin.58,65,79,4910,3616,5150,1254,5163,9136,10128,4,31,10,8,127,98,5,6,61,23,113,306,78,98,84,53,353,268,142,3707,91549,2954,42903,18909,32005,683,272,330,228,213,565,441,414,220,247,1186,559,296,329,183,414,387,293,73,142,103
UNDR03_75-bin.6,14406,14135,7632,4893,5843,862,349,5160,5386,2,9,48,30,0,3,1,2,3,11,3,30923,17634,24666,2,0,18,4,5,29510,104953,77631,50168,36285,46048,2437,2646,1948,3555,5775,2190,3582,1396,1670,7711,2912,33557,38228,34694,20680,98363,82041,31,175809,92863,51676
UNDR03_75-bin.9,9108,1000,96336,47004,44499,12005,48161,64845,53902,293,1312,159,59,30896,88804,47044,52436,67802,31861,883285,16827,1208,1162,90565,53525,72156,35780,689907,59314,62942,68231,75517,60345,63380,60817,12629,14682,36076,16086,142297,97158,122062,33935,18213,154745,73528,99449,77481,29904,42638,35536,100164,18234,59795,41023
UNDR03_76-bin.17,990,76,32415,59649,63620,18396,62064,85525,71923,85,666,15,4,30,33,61,131,31,155,9,2279,369,91,54,46,341,71,62,25713,38034,133205,53502,59867,66283,20667,12363,14126,13315,18627,15923,17740,17620,12683,16565,18427,18655,10301,14151,14174,27146,26070,16153,3769,9475,5736
UNDR03_76-bin.18,3780,3911,6069,972,1122,238,347,482,980,14,69,239,207,1,4,1,2,1,9,24,7875,4704,8040,9,1,28,7,10,40658,39383,53742,39648,24255,48381,103,62,28,15,32,40,33,12,17,40,268,199,211,161,79,272,258,351,237,141,277
UNDR03_76-bin.25,581,795,14364,27749,27825,8863,166,143,164,6,27,18,25,45,70,48,168,92,136,436,1542,224,1173,189,137,573,141,155,67401,130220,147314,5329,78342,17023,100,195,168,155,174,125,1447,3098,771,764,918,782,1881,955,649,91,124,400,68,17033,7707
UNDR03_76-bin.29,9825,7721,140168,96080,148071,32445,167026,183050,162217,1,2,20,8,232,211,25,11,361,3,9,21404,14230,8809,219,5,574,26,84,40969,317098,60033,240054,144970,151671,7340,11878,6857,19871,13398,5728,12285,4558,4608,15278,97459,45852,17735,19204,16447,336373,240047,224215,565310,69987,528928
UNDR03_76-bin.30,51703,7489,43276,16092,16882,5372,4339,5725,4968,10375,55948,1291,2060,1379752,1885723,3973535,4651171,2368718,4933269,58801,52851,27609,3552,4351596,2094067,901295,472837,670932,1163848,1280957,1510814,469050,445213,376816,2471,4835,2164,3338,1325,1761,8022,3082,2356,1215,2067,5189,2734,2587,1260,6543,5904,1346,1796,1878,809
UNDR03_76-bin.46,98,82,2643,2086,2400,701,3385,3925,3171,12,83,64,55,6809,4316,643,638,52145,500,1219,536,142,84,9421,2403,244289,1183,6475,2990,2907,321737,2856,1350,1015,1316,1737,1978,1892,2562,878,2340,2092,1062,2352,706,1352,1339,1526,1790,294,271,359,466,1151,514
UNDR03_76-bin.62,42,48,137757,6132,25795,4957,11345,927,7506,6,18,7,4,73,63,24,139,73,816,569,186,83,64,228,263,260,588,170,51661,18455,242266,29717,3744,10373,1872,192246,215155,163554,152163,642,186658,193845,103514,194998,454,30388,51213,43482,168704,53,44,1572,8458,68843,40543
UNDR03_76-bin.64,533,328,220637,32937,34084,27652,1332,4254,18889,125,623,556,488,161,235,214,551,180,797,991,2019,717,643,375,253,1179,188,237,28025,546,37712,138455,52408,92406,195472,337820,524006,1041029,321947,116563,487609,291431,377237,559385,130597,1097304,760310,1214068,813780,69724,60382,111,53351,594062,251307
